genes	logFC	logCPM	LR	PValue	FDR
AC016355.1	-0.278170663390068	6.19782411558007	0.597930669408949	0.439368660425697	1
Z98257.1	0.331992772493959	8.23793813060321	0.597929048558044	0.43936928056491	1
AL117190.2	0.370724441987248	5.28971421036424	0.597527781569653	0.439522847062865	1
AC009065.7	-0.553642758365749	4.41108024714507	0.597440643968	0.439556205861599	1
AL162727.1	0.428938846910231	4.94326145511614	0.597318909232328	0.439602815953089	1
AC073957.3	0.231513375118149	7.56119150017037	0.596919590620288	0.439755761308916	1
ALKBH3-AS1	0.70006013988045	4.1697229856135	0.596509655238933	0.43991285806051	1
AC093864.1	0.447988763240816	4.84745537978494	0.59640802207106	0.439951819581136	1
AL357033.2	-0.367209800593389	6.43093257581042	0.595885227174428	0.440152319075499	1
LINC00332	0.604547889467604	4.34047715528103	0.595700490098515	0.440223202013616	1
AL451064.2	-0.641178017674779	4.21440807016059	0.595515285906597	0.44029428178956	1
AL354811.1	-0.232296289330389	7.17790364679528	0.595208035429334	0.440412240784477	1
AC232271.1	0.250442076938826	6.78429870301534	0.593297336166515	0.441146884396313	1
CXXC4-AS1	0.813200509009548	3.94910074766263	0.592778200452317	0.441346812247109	1
LINC00526	-0.202919779082377	9.91115790064307	0.59234310553473	0.44151448201809	1
AC132938.5	0.247924931843651	7.31312886552507	0.592164713430819	0.441583256198679	1
LINC01818	-0.366147417834459	5.28853801235879	0.591989826241971	0.441650695168057	1
AC096751.2	0.476584683921053	4.68980679324012	0.591565421242841	0.441814417687509	1
AC148477.3	-0.756676283857413	4.02076733635992	0.591280287862588	0.441924465962812	1
AC091114.1	0.408951286933376	5.00436417582688	0.590786291881244	0.442115225507123	1
AC067838.1	0.388868300740041	5.08943835847614	0.590565262143411	0.442200618568082	1
AC090673.1	0.673279079580858	3.8985127071388	0.59041856636526	0.442257307335565	1
AC090204.1	0.378351723991834	5.18187911495276	0.589792491146405	0.442499372321058	1
TAF1A-AS1	0.24171991773633	6.96028276894488	0.589532445441741	0.442599976132221	1
SIAH2-AS1	-0.324978455122432	5.59366556890695	0.589096690004723	0.442768635811732	1
AC073352.1	0.633483892240505	4.2493438762972	0.588998156952119	0.442806786892981	1
AC013356.2	-0.402820167290781	4.98613360316344	0.588863729524441	0.44285884412104	1
AL138749.1	0.69031333099167	4.15282052844843	0.588244296206586	0.443098842665156	1
LINC01370	-0.257949305027142	10.0928177080622	0.588179374447805	0.443124008125911	1
AL592429.2	0.676679661874703	3.89544004312905	0.588018359078514	0.443186431635523	1
NALCN-AS1	-0.64485804156232	4.22524118885925	0.587872935170957	0.443242822209131	1
AC069281.2	0.215195459045467	8.42207577786814	0.587826663022788	0.443260767337893	1
IPO9-AS1	-0.43169015026157	4.85018304488241	0.587243911183137	0.443486864491503	1
AC036108.3	0.364208407605449	5.29876350217142	0.587014653623932	0.44357586107999	1
AL512413.1	-0.734864961272078	4.03036287198502	0.586979377057222	0.443589557707592	1
BMS1P4	0.374675537267619	5.24803030658619	0.586950482337883	0.443600776979006	1
FLJ31356	0.737346927486944	4.0992141431385	0.586914176784671	0.443614874357908	1
AL035530.2	0.475570060246658	4.63795403955772	0.58689601821051	0.443621925558125	1
KCNJ2-AS1	0.421281885859794	4.89635103248116	0.58678907419381	0.443663456762167	1
AC141586.4	-0.730482125148162	4.06206787627544	0.586585839803682	0.443742398430892	1
AC020763.5	0.739162183994147	4.05278591249203	0.586230973173834	0.443880290146203	1
AC087071.2	-0.568271946072032	4.37346565908346	0.585961455956905	0.443985061594994	1
AP001065.2	0.483095462315482	4.66063491333136	0.58542979545124	0.444191850057045	1
AL133384.2	0.65686770901822	4.21727805372525	0.584583538441031	0.444521307555421	1
AC092953.2	-0.458847354459688	4.72409256085606	0.584462328254489	0.444568526999148	1
AJ009632.2	0.402695790790671	8.12634560349219	0.584357133135981	0.444609513795491	1
AC079949.2	0.242402736710216	8.04667733743421	0.584282271178402	0.444638685551285	1
AC011294.1	0.781804977350301	4.01238975391275	0.584191153533634	0.44467419572033	1
