Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
IRI1	0	0	0.00177145452200509	0	0	0.160695165554959	0.00473350088547366	0.00737126873098234	0.00502552944376639	0	0.0510259794124878	0	0.240791255015678	0.35554470882793	0.010648097223788	0	0	0	0	0.00303444084370197	0	0.159358599539228	0.051	0.15531703685172	1.06105476193086
IRI2	0.0440326388501358	0	0.0041265307558338	0	0	0.0603850295748396	0.035193779899306	0	0	0	0	0.00237316840572414	0.361975626271302	0.333487922963163	0.0348354419403679	0.0112006413343715	0	0	0.0311320404061953	0	0	0.0812571795987614	0.103	0.117062344900951	1.07604322186361
IRI3	0.0384551142810444	0	0	0	0	0.0718752728384458	0	0.0148479891589795	0.00505282040083737	0.0330478471541055	0.016215252135369	0	0.103045241387239	0.407581223210309	0	0.0282872794780179	0	0.00296157375074905	0	0.0169567645150199	0	0.261673621689884	0.027	0.195692151728964	1.0628116655139
IRI4	0.00209402952697453	0.000930690586614339	0.00203219662249679	0	0	0.293365810715666	0.00414157545952562	0	0	0	0.0399074171458736	0	0.115534859847373	0.329991956822405	0.000674996690652912	0	0	0.00340592855933641	0	0.036085886007297	0	0.171834652015785	0.164	0.0932911243647903	1.08115103906171
IRI5	0.0338443310441296	0	0.0070524970975021	0	0	0.102967871835517	0.00539128833592912	0	0	0	0.056073708727701	0	0.35586767706512	0.209514802595518	0.0248694757939544	0.0941787199550517	0	0	0.00367106358600272	0	0.0374821444056928	0.069086419557882	0.117	0.110625527232501	1.06333830025217
IRI6	0	0	0.000655938718660884	0.0440705708114685	0	0.108769417074075	0.0462640017645586	0	0	0	0.0510354564352645	0	0.3232105361269	0.212049803465546	0.0135229477567104	0.104834082904235	0	0	0.0373793162142654	0	0.00228182777264434	0.0559261009556722	0.179	0.0850470040941005	1.06633946640784
IRI7	0.0298191302254958	0	0.00124924420613747	0	0	0.264492085406498	0.00360452179064663	0.00147483825149655	0.00305544538256822	0	0.132462732386276	0	0.256906289055665	0.12901545212928	0.000411734608657341	0.00912573745168037	0	0	0	0.0187346803430456	0	0.149648108762553	0.27	0.0586224160916761	1.08330838397121
IRI8	0.0388296557349037	0	0.0016542980069354	0	0	0.115202121193346	0.0273555392898738	0	0	0	0.0850255658130379	0	0.294150248288172	0.187786921236655	0.0081504844989938	0.143314224244283	0	0	0.0200116398344313	0	0.0197100319899295	0.0588092698694391	0.188	0.0813815931385748	1.0647571712022
IRI9	0	0.00214217041345853	0	0	0	0.108054123739814	0	0.00769855904178707	0	0	0.0885788018881844	0	0.219559951526583	0.314315943502279	0.0068734684901981	0.115927388353166	0	0	0	0.0261431402600947	0	0.110706452784435	0.079	0.133696917309383	1.06229452851229
IRI10	0.0353150474714879	0	0.00162698602258141	0.0090331313059224	0	0.024113034151361	0	0.0170591945928328	0	0	0.117143625833823	0	0.0793031032774063	0.425285980625349	0.0083551332202838	0.0976851668641744	0	0	0	0	0.0798119922624405	0.105267604372338	0.0610000000000001	0.145863103844808	1.06665346688011
