N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
AC000068.1	0.363250834779404	0.0582146112454228	0	0.0847707297535734	0.132034314208318	0.0171447536426013	0.0248611919538028	0.0198564406015678	0	0.0584905455332681	0.0430922518046043	0.134080810575865	0.120874988323804	0.297069983827315	0.236649367373459	0.0690255617444737	0.131219756804447	0.037784027628498	0.182003694212703	0.181487642792762	0	0.127131280496898	0.114376087496375	0.195673145743404	0.230763583137627	0.10612438825352	0.211884360764882	0.176221857409407	0.0669848545188168	0.01831431140373	0.0436664845220571	0.0399289108952577	0.189279148011105	0.0525370878868205	0.151068679543165	0.0842501410300813	0.0832293400571609	0.0888883067771455	0.223002363839227	0.0753936836625946
AC000068.2	0.584452941584969	0.265382695177503	0	0.869498903608256	1.20380850823845	0.156315427776239	0.453338430670648	0.995714163818182	0.294024231524841	0.533281191231579	0	0.814978144282867	0.551032283728299	0	0.248956717415791	0.209777685475596	0.448643201117813	1.20572117730157	0.645321794045476	0.165469385624532	0.901114435255513	0.413966296897509	0.104281154556478	0.223003579686912	0.315594282938871	0.290273272392563	0	0.502088634493922	0.508939275094054	0.918383089456175	0.298593319704632	0	0.517719617451245	0	0.258253549729905	6.65722636122042	0.379417230651883	0	0.0924181733143992	0.343696857914045
AC000068.3	0.209873811966499	0.476487274713706	0.412242137420935	0.208154824699348	0.432280963145735	0.757782050343826	1.09884139518529	1.07266631230999	0.527912359490348	0	0.211626351368279	0.365817668198789	0.339210238226855	0.182364097214836	0.268196932110688	0.451980024912292	0	0	0.297940473664355	0.178257417768816	0	0.089191801673468	0.112340353854754	0.960952193498636	0.11332815780787	0.833884186108221	0.231236796525609	0	0.219308727440997	0.359766847902781	0.107223206139056	0.0980455809688003	0.371820490285047	0	0.37094967330447	3.17210659798739	0	0.218265549545286	0.0995605614159804	0.462823637706267
AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	0.0281989042510054	0.0768257015617694	0	0.139839695007271	0.0580818034182596	0.0905035831051853	0.0984277901707826	0.052409006848946	0.198606676213549	0.0257299504894616	0.0568687552135023	0.0393213705024249	0.113941765043162	0.0245026650442841	0	0.0303642968278081	0	0.0498635027922973	0	0.0479017730568185	0.260863839029287	0.0719035229349984	0.0301883770270483	0.161393402542447	0.0304538221422028	0	0	0.0290699524061931	0.147332955659701	0	0.201692991283599	0	0.0749373895618543	0.184888228737004	0.0249206278321285	0.0741231574323811	0.192215777643025	0.0293264284631331	0.0535083193513199	0.198993775507188
AC000123.1	0	0.0788604908150204	0	0	0	0	0	0.0806956510493946	0	0.158468571037808	0	0.302721209924191	0	0	0	0	0	0	0	0	0	0.073807944408083	0	0	0	0	0	0	0	0	0	0.162269236719681	0	0	0	0.22825910302336	0	0	0	0
AC000123.2	0.971975246309059	0.3530760369679	0.190919080996463	0.482007104916604	0	0.233964523135802	0.226177525063447	0.993554263245908	0.586772869854347	0.709499198746281	0.0980091670653527	0.542140197209138	0.314192563390167	0.760114127545134	0.745250043457248	0.313983954399482	0	0.85936123575879	0.643921963689629	0.660441799455832	0.299719913389397	0.660909315654158	0.416219792589846	1.44637896586522	0.419879595522432	0.386191483154241	1.07091227892012	0.801599208215893	0.304701171205984	0	0.893836835558334	0.72651562817662	0	0.637282853499132	0.343591129069433	0.766475252668462	0.473242749728488	0	0.553306200320481	0.771640451065156
AC000123.3	0.261192704882529	0.179944581252686	0.176911952440944	0.366247891056431	0.139133646680826	0.303519001471048	0.272458674915626	0.326415936023722	0.226551334173245	0.410903430429693	0.263373779798332	0.439569451355248	0.407597749571887	0.571303645656647	0.199498984274228	0.407327123958645	0.138275291466797	0.54945570951259	0.656347392536705	0.267744433020599	0.0277730412206054	0.390418063325249	0.414609293894901	0.577343940978376	0.30153262812116	0.178928918325734	0.387013705783012	0.167127392707927	0.103526943999032	0.177551266997649	0.690215713890104	0.336606738280826	0.135630398943676	0.531474685259879	0.461655256736608	0.568193111927897	0.464833773029795	0.243536093573041	0.333262719449311	0.468740337878753
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0615369368652318	0	0	0	0
AC000372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
