N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
AC009312.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009313.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009318.1	0.0796446122553281	0.0867941982094927	0	0.142186098705936	0.196854572978915	0.11502770547345	0.203865309206672	0.0740116529354561	0.320538325634381	0.232548262084632	0.112433552122251	0.299858648891847	0.154471494905297	0.0692050031200985	0.108562711232387	0.29158576260561	0.0244550151101071	0.0422501453627588	0.135677833901187	0.216469014965616	0	0.284316703023814	0.0341054611418271	0.0729339826917735	0	0.585430868126723	0.14040257677417	0.114946704804154	0.216385130825627	0.068263617158944	0.146483747313328	0.193477077837828	0.169321737666244	0.326372417640308	0.154848081719792	0.0418704931247969	0.201645488739625	0.0828291767293255	0.302256379129923	0.224814155194399
AC009318.2	0.206488750483169	0.375041596871433	0	0.204797488817101	0.779732597502119	0.717946434794091	0.240248477083523	0	1.10804830723135	0.251212849940119	0	0.623856797594924	0.500608658028343	0.119615160538763	0.234552155681032	0.815265044935881	0.422684838738749	0.121709840148941	0.455987750016772	0.175382298127384	0.212244055410925	0.234008597938991	0.368428042211826	0	1.04066932008517	0.136739073528499	0.303342894366928	0.283822761127133	0.143847659934418	0.471952209076766	0.914279596433025	0.128618934174125	0.0609705642671717	0.902572643511828	0.182483307028812	0.0904621329954329	0.335122745967485	0.143163424970564	0.261212655758056	0.728573984518252
AC009318.3	0.267244883826129	0.161797269425648	0.349955055027314	0.441759990788378	0	0.428857436046142	0.207291926549203	0.0827812245357607	0.53777791849474	0.4064104505741	0.17965099808003	0.683199040767281	0.0719894491664349	0.154810078550169	0.303565513615013	0.671455414742962	0	0.315042170723501	0.505847245545445	0.22698583713902	0	0.151431011191137	0.190732926822981	0.509849138449202	0	0	0.0981492168155419	0.734666471148165	0.0930863087647176	0	0.546134898863342	0.166463073851601	0.315640853581939	0.511061572624677	0.0787254028335033	1.05371299646171	0.433727450546388	0.37057411393971	0.253552841299942	0.471472826959625
AC009318.4	0	0	0	0	0.189901205003322	0.221929311040339	0.536357196781116	0.257030592231405	0.371059386835191	0	0	0.449970786109539	0.223522795868622	0.0801126229534309	0	0	0	0.0815155410874078	0	0.234925670948409	0	0	0	0	0	0.183162833059779	0.203164839745751	0	0	0	0.188412794326654	0	0.163340894394769	0	0	0.121174585555611	0.0897797973764745	0.383536582945831	0.787265920826364	0
AC009320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009336.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009365.2	0	0	0	0	0	0	0.0652489606096677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009387.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009396.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009396.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009396.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009403.1	2.20978543372095	2.36946957785737	1.51657587275206	1.58435133951197	1.0693367319171	2.39256412330119	2.1683745495536	1.92979118445397	3.42882684733267	1.89484344834512	2.06716066745028	1.70775772757234	3.46400568142923	1.4343158376903	1.97331111724697	1.74877060441035	3.1882190643904	1.88313977271445	2.26774656425454	2.1934771201921	1.80615529506552	1.62930050543619	1.99515934445549	2.86472810031553	2.32898454789114	2.72393496652003	1.52536596258307	1.59188648464621	1.72488985450771	1.39198560417762	1.60503519445112	1.49252987784947	1.55654264070309	1.33103320879747	2.11758703878354	2.44941140855726	2.87775457473042	1.63361972361687	2.07130926762872	2.58334239608596
AC009404.1	0.496885817759523	0.691904611872347	0.0433778690681959	0.42710723209934	0.318405076107098	0.451843264616875	0.642359777317946	0.482264891387363	0.855457391211589	0.523906936678963	0.757119607975524	0.654379116179154	0.464010850763251	0.470133564074175	0.630264993490609	0.368584252696156	0.220378375446404	0.507654202651792	0.898716122383969	0.656495098214628	0.442637121967141	0.253398787948106	0.390090666872186	0.707808306152642	0.286196885464526	0.493564706631021	0.997600442773248	0.398404485724601	0.980755330516387	0.482666501156904	0.823621133208603	0.381720584949748	0.361901917571061	0.841616183405258	0.331779654819757	0.493417656905104	0.494607479090306	0.666038023661723	0.565714003235504	0.73050404127862
AC009407.1	5.24509050140357	2.04140534751926	6.47592414537167	1.18905832972069	1.46617702926478	1.50303295938691	1.22052654411328	2.15854119429116	7.53908285961132	2.1878202717193	1.73777792373568	0.626906264832975	0.423870987483307	2.27878882347468	1.72354650518624	1.45230705329259	0.920293745882694	1.25871991036977	0.709144828621402	3.18210356970253	3.69687973438159	1.5284909423908	3.44929972763734	2.83043004987234	4.20792377251829	2.60501654711274	1.48602509874233	2.62630978042975	3.13193400057879	2.76157152773535	3.5218699247213	0.420054813448272	1.52660912838188	0.736924905007776	2.31766006167864	2.26503263769334	2.0430158573563	2.72740688792165	1.91945436883752	8.52632589825227
AC009411.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009411.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009414.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009432.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009435.1	0	0	0	0	0	0	0	0	0	0	0.0787146794723477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009446.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009468.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009468.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009478.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009480.1	0	0	0	0	0	0	0	0	0	0	0	0.0758272545247004	0	0	0	0	0	0	0	0.0923736861496172	0	0	0	0	0	0	0.239655611933095	0	0.454586536977213	0	0	0	0	0	0	1.000572670049	0	0	0	0.0959348025730951
AC009486.1	0	0.100103353654491	0	0	0	0	0	0	0	0.0502889192223302	0	0	0	0	0	0.059346700688053	0	0	0.0521609603340219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135510791265268	0	0.0724364681181141	0	0.229272791281272	0	0
AC009487.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009487.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009487.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009495.1	0.361355313345545	0.328161397262504	0	0.238930403619951	0	0	0	0	0	0	0.485830387280942	0.167961445506326	0.0973405723943999	0	0	0.12970125714889	0	0	0	0	0	0.307136284794926	0	0.689392786666528	0	0	1.19441264656978	0	0	0.309718637206628	0.12307609951983	0.225083134804719	0	0.0987188828841062	0	0	0.586464805443099	0.250535993698487	0	0.531251863711226
AC009495.2	0	1.04544698100229	0	0.351312688326568	0	0	0.412125846064225	0.0822904267618332	0.623687763840573	0	0.267878810378227	0.123481537012556	0.286250537001714	0	0	0.190706986795997	0	0	0	0	0	0.301066397743643	0	0	0	0.087961597694716	0.0975673044628806	0	0	0	0.0904828241529187	0	0	0.0725759376144022	0.0782586514333046	0	0.172462377569038	0.0920942585531986	0.168033042389817	0.156225844506384
AC009495.3	0	0.104472434558538	0	0.171146553555754	0.23694989892584	0.0923043604326955	0.870014061428265	0.106903609605873	0	0.0524838142846655	0	0.0802075195485919	0	0	0.0980060676176841	0	0	0.457700868698744	0.10887512388077	0.293129335252701	0	0	0.0615780886983052	0	0	0.0571355178864265	0.25349964599855	0.177890196560106	0	0	0	0.376197999378362	0	0.235708757592346	0	0	0.0560115295570816	0	0	0.202953215199565
AC009498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009502.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129057605267946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009506.1	0.74980018164069	0.84434565667809	0.942583093326581	0.981629730534979	0.772188634802665	1.25136045261299	1.60519430940276	0.668898890626307	1.53900233636162	0.957812045830927	0.574606622707781	0.29275207770982	0.799834582806997	1.27697590563119	1.07314676048038	0.90426257996174	2.25622886059694	1.21978677145254	0.28384779619518	0.764216038024946	0.462419277351111	0.433362308130993	0.481619790120279	0.892611383218027	0.323903101632934	0.953329444359331	1.12352604148554	0.865716413960069	0.626806068388928	0.668362039059015	0.735490907973926	1.20496312728791	0.478214907685889	0.442450896781777	0.87467400377063	0.670110057470184	0.496493096334961	0.717398247016148	0.796751052402585	1.13760439249328
AC009509.1	1.15043732412051	0.0267886854908167	1.15883734482383	0.0585135682334573	0	0.0473371275688412	0.789387853274433	0.137060421137221	0.0296798653722684	0.0538313249871684	0.0297447175886291	0.102833538065097	0	0	0	0	0	0.0521613600638317	0.0279176173479657	0	0	0.0250723497791776	0	0	0	0.0879036901254634	0	0.0912287446480069	0	0.0252831540576839	0	0	0	0	0.130345219306294	0.155077942277885	0	0.674913289146944	0.81162503753396	0.0520409988941609
AC009509.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009509.4	0	0.319780064915918	0.345829848091825	0	0	0.211901071052268	1.22909044071806	0.409027072116774	0.79715803438955	0.240971854584014	0	0.368261243978506	0.284563402206026	0.152985205325609	0.149993569104471	0.0947914885253185	0.675755967629974	0	0.333256273096737	0	0	0.44893790940555	0.659696105445694	0	0	0.262329479961844	0.678945761114976	0.726006355574709	0.735912193456235	0.0754520845061333	0.0899495265645911	0.740253767511001	0.389900170313642	0.360740907985142	0.233392206042743	0.115699113123825	0.0857229499508185	0.274654389948439	0	0.54356772224127
AC009511.1	0	0	0	0	0	0	0.272952458257196	0	0	0	0.236556157157736	0.327129098054205	0	0	0	0	0	0.622249523065134	0	0.597768984716895	0	0.199397378610318	0.251148330345444	0.537076684062719	0	0	0	0	0	0	0.479416848391381	0.21919090614491	0	0.192269237868521	0	1.54164525078604	0.228444929450087	0	0.222577799605359	0
AC009511.2	0.0659912501544147	0	0.129622527745758	0.0654507438487641	0.135923395628298	0	0.0767804411297857	0	0	0.0602133892897709	0.0665423063580671	0.0920201144747469	0	0	0.168659926378886	0	0	0.058345438834286	0.187364627768306	0.112100025607194	0.406983446458062	0.0560896897121809	0	0.0755387677879082	0	0	0	0	0.0689578988345404	0	0.0674290265410558	0.123315060599934	0.175368942582896	0	0.116638814801921	0.693853886068062	0	0	0	0
AC009518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009531.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131234340322904	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0633162490222198	0	0	0	0	0	0
AC009542.1	0	0	0.0351632825966319	0	0	0.0143637828160347	0	0.0332712392660708	0.0720474878153826	0.0326687106094722	0	0.0499254156838619	0.0723345843602013	0	0.122008352655495	0.0385528307306329	0	0	0	0.0304098751047881	0.0552021094976077	0.0152157008847666	0	0	0.0386664989084781	0.0355641777335408	0	0.0369094321801365	0	0	0.0731670939214972	0	0	0.0146717636567669	0.0158205663704563	0.117640528525823	0	0.130322758208322	0	0.0157911061366821
AC009549.1	0	0.217217152636391	0.15660800060386	0.790766104507311	0.109480410001915	0.149269180735317	0.0927649813649902	0.642119130770271	0.294140492589106	0.363744584766499	0.133992366598836	0.0555886634593889	0.214772793183374	0.600417024697244	0.498110316379558	0.286173592285807	0.0816037455572139	0.845905045590325	0.729418126806189	0.0677187877111073	0.737566975476043	0.519544889819175	0.796643695544148	0.0304216033973842	0.430526008754095	0.263989136616407	0.0878452954772555	0.164384891008686	0.222170407158495	0.159451825086212	1.38493461452564	0.546287181269816	0.447298285540123	0.500971982180553	0.375790060500613	1.25745584156641	0.724628400177381	0.608062447339387	1.5381102865967	0
AC009554.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009558.1	0	0	0	0	0	0	0	0	0	0	0.0777663098401508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236407791848762	0	0	0	0	0	0	0	0	0
AC009560.1	1.44542125338218	1.21888518983216	1.21677921206502	0.204797488817101	0.318981517159958	0.248519919736416	1.92198781666818	0	0.311638586408818	0.0942048187275448	0.624639069361211	0.0719834766455681	0.5840434343664	0.0897113704040724	0.703656467043096	0.5558625306381	1.26805451621625	0.182564760223411	0	0.175382298127384	0	0.351012896908487	0	1.29999782628545	0.557501421474197	0.820434441170991	0.113753585387598	0.532167677113374	0.32365723485244	0.884910392018937	0.316481398765278	0.385856802522375	1.18892600320985	0	1.09489984217287	1.22123879543834	0.301610471370737	0.429490274911691	0.293864237727813	0.182143496129563
AC009562.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009563.1	0.118227068218595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0559457265851713	0	0	0.0502439304941568	0	0	0.063840532168813	0	0.0651306808155905	0	0	0	0.0604014630888877	0	0	0	0	0.466154474248233	0	0	0.224339629153687	0
AC009567.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009570.1	0.0601450454427485	0.218480608110338	0	0.596524229171958	0.309704649770518	0.0482584542127985	0.769762570199154	0.558912160288424	0.121030108726109	1.31709717029008	0.1819418497334	0.419339984754048	0.0972099139079645	0.156784166800137	0.512394138752858	0.259054323003421	0.092338197992928	0.265882905828726	0.227687842961395	0.408676066508911	0.556392805661122	0.460086031988104	0.0643883638872212	0	0	0.179229134631649	0.0662671893398894	0.0620028917764307	0.125697753848733	0.463954361238385	0.737465380210097	0.280976262239448	0.159832902031928	0.492931871582383	0.531528558728217	0.15809623779873	0.819948646106755	0.312749629717574	0.627699271101826	0.0530538773961278
AC009597.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009623.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009623.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009630.1	0	0.0727942992138649	0.787242364395076	0	0	0.128631657919624	0.279788476889756	0.148976586552728	0.887157192317053	0	0.242480640521257	0.0558869926013892	0	0.348253441461247	0.478020650017201	0	0.984500286293114	0.141740797740537	0	0	0.494350197039399	0	0.429063784400535	0.0917546034489976	0.0865673048013601	0.238865304652198	0	0.247900649589128	0.0837610255968746	0.0687032397381429	0.0819039517377046	0.149786987741244	0.781055833125611	0.262779423491145	0.283355117175328	0.105350355241551	0.156110846243172	0	0.152101465919941	0.141413734025457
AC009630.2	0.0376854994573992	0	0	0	0	0	0	0	0.189586692600823	0	0.0380001900900989	0	0.0609094918935522	0	0	0	0	0.133276881306914	0.106997966572481	0	0	0.0960931017188499	0.0403442650092345	0	0	0.0748672303339382	0	0.0776991663136095	0	0.129201382720343	0	0.0704213003762451	0	0.0617719502655803	0	0.346708107704111	0	0	0	0
AC009630.3	1.96688324191375	0.948922119930533	1.08658884369592	0.670578334439533	1.89901205003322	0.838399619485724	1.78785732260372	3.99825365693297	1.79345370303676	2.24334108794263	0.619783621634123	1.1999220962921	0.645732521398242	1.22839355195261	2.04219639251911	1.19133006566388	0.283094475328112	2.22809145638915	2.03599468628888	0.835291274483233	3.41162666845709	1.09709586502879	1.05282482515182	0.140715564685843	0.796561701793585	0.915814165298895	0.880380972231589	1.33063819182751	1.79839173201959	0.684864805455534	1.25608529551103	2.4120019877839	1.68785590874594	1.30975176303851	1.03206951286665	14.5409502666733	1.67588955102752	0.767073165891663	1.63284783578801	0.759056160825258
AC009646.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0553440556151051	0	0
AC009652.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0791525051357865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009652.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0503103029254568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009656.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009686.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009686.2	0.0776569477553685	0.211570259586918	0.305073470847035	0.0770208926747155	0	0.186928327843336	0	0	0.39067344454485	0.283430789100551	0.0783054177073268	0.108287101782241	0	0.134955753051533	0.198475026016055	0.334480884987086	0.953787972335963	0	0.36747712956291	0	0	0.13201004961723	0	0	0	0.462827401388488	0	0.320222907268221	0	0.133119968851376	0.238046667355512	0	0.0687900127173809	0.0636454496237218	0.0686289040298997	0	0	0.484572216581475	0	0.205503320589854
AC009690.2	0.227741086936964	0.193894599399065	0.195710252342944	0.197641286857164	0.131929458495002	0.308360484908018	0.298097379761195	0.251315172454976	0.24346352080943	0.155850919927908	0.315758885761374	0.138936341835601	0.391093888070003	0.123680860086936	0.266776999179141	0.337190307657724	0.327788869939952	0.239108801271005	0.080826291140203	0.120895675646894	0	0.120981255764202	0.319998714426803	0.228104042754719	0.153720214053241	0.113109449640473	0.266605448853144	0.102714447463178	0.133863316320799	0.182997670014081	0.159983290735434	0.212785072801412	0.302606129641134	0.303306555036555	0.201264943457444	3.55440318621509	0.0970237835688584	0.192438383978062	0.0945319307726701	0.276223967764464
AC009704.1	0.812230674105999	0.122936595953325	0	0.134263006263779	0.418241626729371	0.108617970962341	0.630017154406338	0	0	0	0	0	0	0.23525519489648	0	0.291533943561251	0	0.478749884815471	0.128117404083262	0.804851090197873	0	0.690360712650831	0.144922450441027	0.309914340350391	0.438590242150697	0.268933948238829	0.44745368028596	0	0	1.16027525720912	0.553284701164675	0	0.239829832857576	0.110946901609932	0.358902214126152	4.62586726006253	0.2636433929001	0.281569153038782	0.128436132098561	0.477645180182661
AC009716.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147966956231223	0.219261213693299	0	0	0
AC009716.2	0.0119012108512211	0	0.04675362355345	0.0236074661744015	0	0	0.0138469905782535	0.04423793459919	0.0359232792832475	0.0217184017677314	0	0	0	0.0103412310107218	0.0811120602116078	0	0	0.0420892993025022	0	0.0909752000644836	0.18349386463813	0.0606930666367663	0	0	0.0128528880169881	0	0.0393378932734801	0.0245376650058119	0.0373086958634685	0.0408022427767563	0.0243210140883808	0	0.0105423206740847	0	0.0105176301793498	0	0.0115891053187162	0	0	0.0104980447968433
AC009720.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009779.2	0.869456443475906	1.66377600996014	1.03689039346451	0.923930458904592	1.11927217501958	1.04643591983262	1.48128253680673	1.90448447133623	2.43695759462031	2.15332760977778	0.657537592764851	0.909296474217197	3.23713055305784	1.53796249553426	1.71952087104	0.50154748086681	1.43018622670959	1.64725791968733	1.76327903332889	1.60882569668204	1.62779276592703	1.76832172839657	1.39619674707633	2.02604083831976	1.64321901996816	0.462667031533537	1.09480928195631	2.56089559935916	1.13567877048015	1.72995995556855	1.77679924130084	2.08892123444546	0.797687652668008	1.29791728764883	1.45442863072652	0.816227977547149	2.14687573684867	0.839634141043577	1.1489826952601	2.41040346645193
AC009779.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009803.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009803.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009803.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009806.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0902165959704295	0.0739982871168051	0	0	0	0	0	0	0	0	0.0819120611264425	0
AC009812.1	1.31166177950923	0.153699766800946	0.249330584530792	0.629476700755111	0.435750640375895	0.305545737013044	0.0984587715337573	0.432510401658512	1.31973104864471	0.810748553241589	0.0853299830351796	0.413004347590625	0.239353022204927	0.183827831706173	0.432559357927342	0.455607815480521	0.714552910814018	0.299275187675016	0.320354000011783	0.215625828292591	0.521891898290886	0.395593855014428	0.135890456362549	0.629632392128296	0.319865782519095	0.798548442150141	0.326329926730428	0.392567884193548	0.17685519663325	0.14506179797402	0.345868245676124	0.158132060712664	0	0.242742182275932	0.149570831445712	0.333659198753693	0.618030899787062	0.440034889782045	0.24086322790155	0.559846156658855
AC009812.3	0	0.0108051017686008	0	0.0118005987980114	0	0	0	0.0442261879357277	0	0	0	0	0	0.0413539402606133	0.0101363152780372	0.0128117014496514	0	0	0	0	0	0	0	0	0	0	0.0131091492454109	0	0	0	0	0.0111166922659792	0.0105395213324293	0.0292539228089916	0.0420593495754139	0.0156375062612923	0	0.0123737904481993	0	0
AC009812.4	0.0992976373514629	0.834129911712116	0.780176809656461	1.77271798630381	0.536878586776705	0.637385899408929	0.837608679383164	0.507510820339461	0.799268086435026	0.566272733071391	1.40177543321836	0.640393721869547	0.320981211574221	0.409839313214394	0.951690498708564	0.427690793656617	0.609790205028089	0.175585830331214	0.187952845436276	0.295186383219386	0.30619585611637	0.654089683518945	0.797274201041215	0.90931099528846	0.241285379753819	0.813730060003528	0.765835772648251	0.6397805314881	0.596629089251533	0.872359862359278	0.760958044676624	0.394300760250704	0.241889313416741	0.671397787415672	0.351014981719687	1.01142177616667	0.169213778767183	0.722876152455246	0.211972984776517	0.437951674904323
AC009831.1	0.368207816127066	0.334384432608822	0.333806686495713	0.168550145663632	0.175016407645287	0.318164145031282	0.0329544371220762	0.0789613576640094	0.427468857463423	0.361813197590747	0.228481547494956	0.236972153204879	0.160224305003172	0.246110839161615	0.120649062380177	0.304986521235064	1.00013591821038	0.325546895442631	0.241252684427332	0.408966686341289	0.174678735869168	0.288886720464507	0.303219539165485	0.129686026113754	0.0917657207028324	0.534552971072692	0.280860622328671	0.0291985805141851	0.295969742785417	0.1942104223192	0.144703884391204	0.132318151307452	0.401434511635184	0.116066448902931	0.325401649259341	0.781736928053453	0.248228087057332	0.206193339946542	0.403088113697443	0.199874278938636
AC009831.4	0	0.0382803511388057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0724241993939179	0	0	0	0	0	0	0	0	0	0	0	0
AC009852.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009869.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009884.1	0	0	0	0	0	0	0	0.152803508042156	0	0	0	0.114645243538263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009902.2	0	0	0	0	0.0658288057286837	0	0	0	0.257253726108278	0	0	0	0.103311534752402	0	0	0	0	0	0.0604948084900996	0	0	0	0	0	0	0	0	0	0	0	0.130625703342017	0.119444973106071	0.169865209720095	0	0	0.0840097697289969	0	0	0	0
